사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-01,2호선,0208,왕십리(성동구청),793,3,7174,1026,10897,5925,25993,10267,52081,27018,32492,20061,21063,15128,21954,17259,24387,19619,26779,21296,25965,22070,27245,23728,30226,27861,37710,36986,43231,62193,28389,44515,26659,25644,30881,22733,30436,21771,19537,15961,3027,5908,21,139,0,0,0,0
2020-01,2호선,0209,한양대,3,0,1032,269,2428,6174,5773,9814,9399,30231,7031,40511,6192,19748,9397,14010,10533,17622,12353,18139,12805,13088,15297,10470,23465,9923,31702,10246,29927,12523,13887,8729,10364,5879,10452,5336,8444,5418,4922,3869,1011,1289,4,36,0,0,0,0
2020-01,2호선,0210,뚝섬,30,0,3703,1721,7878,12965,19267,25576,31399,124010,19432,69798,15530,29590,16472,24061,19465,25225,24572,28013,26290,26027,29858,26530,35363,27575,47289,30694,108265,40414,54065,29146,30849,15529,27489,14577,19708,14029,8208,9187,1261,3302,6,93,0,0,0,0
2020-01,2호선,0211,성수,20,1,5007,3674,9360,26603,22103,61313,33107,260615,25930,108051,22923,43304,24600,35317,28385,34446,34185,39304,37813,38461,42447,38531,50490,39259,87916,42084,200723,51016,87097,37353,50172,20703,48459,17716,36067,16558,14941,12356,2108,6432,16,1122,0,9,0,0
2020-01,2호선,0212,건대입구,361,14,19296,2185,23853,17018,53568,24729,101425,61012,66971,49469,40200,44069,40058,52620,47231,63951,53460,73940,55380,74019,59621,79476,68913,90855,83393,119274,96144,180881,75490,143384,77146,79108,91670,69914,97736,63550,62769,39222,10976,12858,105,1401,0,18,0,0
2020-01,2호선,0213,구의(광진구청),26,3,12239,1586,24595,9473,63129,14430,117404,39318,69053,26412,36958,20870,33169,21016,35381,23999,34774,27501,31979,29912,30765,35338,32580,40990,37219,53525,45799,87963,26483,73813,20204,46848,19094,45527,16849,44125,10169,27567,1805,8506,16,178,0,16,0,0
2020-01,2호선,0214,강변(동서울터미널),22,3,8786,3308,26644,27161,83750,30798,131240,54634,102144,54638,81329,51965,78034,51500,76291,57859,74616,66491,69356,72566,70963,81920,72329,91972,78039,102568,84964,137322,67403,111576,54849,74848,45307,64264,30995,59467,12447,34050,2166,8371,40,144,1,4,0,0
2020-01,2호선,0215,잠실나루,4,1,2980,1620,10338,9483,36021,19282,50492,37615,30818,29560,25068,22132,26157,19991,26204,23480,24994,25120,26691,23577,28024,22738,32001,21769,36740,26918,33837,40339,18852,34208,14349,20388,10764,19564,6908,19478,3462,11659,555,3575,3,55,1,4,0,0
2020-01,2호선,0216,잠실(송파구청),120,0,11900,5839,44882,34632,113517,82409,174509,187724,129366,183057,87817,122241,91459,129248,101730,126226,115524,133689,123227,130105,140107,137480,160594,146991,209245,171131,270618,233640,189984,175978,176001,102906,146779,95896,114977,94099,41853,55722,5002,12059,48,456,0,30,0,0
2020-01,2호선,0217,잠실새내,45,2,5439,984,15387,7234,52905,13342,79263,27528,49457,33256,32929,25780,32580,27180,35999,29468,36834,35055,33216,37530,34179,40808,38543,46844,41027,61854,46227,92743,34465,74281,30202,41912,31653,36933,30366,35473,18894,20094,3288,6301,34,323,0,1,0,0
