사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-01,3호선,0328,잠원,2,0,1361,726,5729,4042,14770,6470,24182,9573,15715,8199,10096,5876,10364,6161,10795,7287,10493,8838,9438,8537,9605,9328,10393,10470,12228,13154,12957,19230,7381,15502,4780,10030,4320,10015,3288,11580,1153,6211,175,1827,0,14,1,1,0,0
2020-01,3호선,0329,고속터미널,192,0,6678,4380,7573,35259,25475,52507,46556,89553,54462,108364,62012,101780,78751,124749,95469,119401,107407,123063,118867,127957,134363,134457,148004,133956,168954,137859,161364,150453,142058,101436,157270,60037,107757,45599,71187,35399,25944,19195,3037,3563,70,36,1,1,0,0
2020-01,3호선,0330,교대(법원.검찰청),22,1,1121,569,3002,5162,7590,17173,12290,47330,10233,36843,11518,17778,15068,13201,16948,12873,21457,13230,25442,12564,27028,10999,29228,11182,40517,14247,67533,20303,31051,12386,25155,5983,27656,4417,27910,4105,10618,2692,1632,869,7,14,0,0,0,0
2020-01,3호선,0331,남부터미널(예술의전당),55,3,2917,1156,7925,25186,26349,53952,45388,157228,40989,86657,41755,55733,47887,47146,50815,49526,52517,58370,53537,59950,59178,57385,65087,61031,99148,65660,151152,74826,74657,53458,53068,30299,49209,24677,38764,20091,19558,11086,1864,2972,1,31,0,0,0,0
2020-01,3호선,0332,양재(서초구청),85,1,5122,2562,12907,36298,32275,94318,47106,249266,34859,134846,32490,63343,37237,56797,43072,49906,52687,56707,55572,49870,64101,48930,74116,49353,115403,64924,207815,85817,103481,61056,69983,34760,69852,30420,52311,26917,19843,16037,2142,4740,11,59,0,0,0,0
2020-01,3호선,0333,매봉,5,0,1495,429,6009,8759,13541,18342,19405,68807,13907,35089,11378,14198,12816,13670,12909,12607,14381,12837,16651,12086,18227,12229,20251,12750,30442,16381,61780,21814,24102,16425,15592,9375,16369,8578,10686,8409,4142,5709,505,1536,6,78,0,0,0,0
2020-01,3호선,0334,도곡,39,0,989,296,3456,3216,8031,10408,12015,21515,8055,19435,6153,8811,7339,8301,7964,8042,8776,8217,8793,7031,9922,7255,11399,7138,17002,9147,20147,11477,10635,9677,6649,5797,6494,5322,4425,5212,1513,3228,222,1737,3,386,0,0,0,0
2020-01,3호선,0335,대치,11,0,2522,827,11025,7479,23160,18066,27089,28956,16514,25047,13431,16283,14406,14926,18040,20258,20721,23436,18499,19244,20163,20631,22223,21799,34637,29165,33042,29936,19677,23475,14524,14232,16518,14119,36167,13722,4388,8111,484,2634,3,28,0,0,0,0
2020-01,3호선,0336,학여울,1,0,444,167,1460,1505,3347,2995,4696,7725,3194,5809,2366,3665,2683,2842,3159,3236,3689,3733,3498,3586,4312,3471,5030,3019,6231,3342,7653,4423,3293,3719,2183,2372,1653,2203,1314,2108,337,1383,38,429,0,12,0,0,0,0
2020-01,3호선,0337,대청,19,2,3432,1146,9477,6517,24772,9728,32918,26434,19101,11477,15149,7881,14667,8356,14948,9674,15554,10960,14311,11836,15890,13569,17516,14328,22280,18855,29075,26747,12067,24402,9579,16199,8004,14609,5501,15737,2241,9672,306,3156,1,26,0,0,0,0
2020-01,3호선,0338,일원,0,0,1860,1453,7580,8192,20281,23206,23021,21625,16782,19542,16703,18577,18372,14551,19047,15988,17952,17629,18547,16213,21208,14833,23264,13490,31496,16088,18090,21128,10461,18344,7945,11428,5382,11135,3631,11511,1446,6138,184,1838,1,25,0,0,0,0
2020-01,3호선,0339,수서,179,4,4529,2107,11654,13450,33443,26078,45311,52268,32182,34174,32843,22766,27210,19802,32954,25314,32457,24549,24625,25412,32340,29223,35992,32226,40414,38746,54958,53056,26313,41896,25302,29329,17762,23553,17771,23955,8338,10767,917,4443,85,348,0,0,0,0
2020-01,3호선,0340,가락시장,13,0,2469,577,6372,5035,18981,8971,24531,31365,17511,16457,15052,11689,15582,12743,16293,13987,16582,15194,16776,15377,17660,17122,18321,17320,20852,21121,32589,27882,14469,21528,11402,13348,10228,11418,8259,11420,3578,7405,517,2441,7,107,0,1,0,0
2020-01,3호선,0341,경찰병원,6,1,2359,209,6803,2960,21327,7033,27528,29497,16995,15747,12727,10653,12400,7892,11172,9719,11890,11596,12168,11023,12307,10687,12922,11297,16446,14883,21898,21692,8421,19265,6682,11999,6315,10371,4146,10200,1573,6879,218,1804,0,22,0,0,0,0
2020-01,3호선,0342,오금,16,0,3196,21,6453,1802,23856,4924,32609,14024,16819,6311,10284,5448,9154,5012,9374,5795,9690,6345,7819,6903,7756,8205,8164,9631,10912,12524,14059,21006,6001,16945,4261,11712,3907,10375,3699,11285,1121,7123,174,2326,1,28,0,0,0,0
2020-01,4호선,0409,당고개,81,0,7890,19,16134,6934,48450,7299,51316,12725,32265,12419,24477,12124,21653,11741,22615,13520,22337,15101,20117,15754,19043,19078,19186,23026,20048,27525,18416,37944,12183,37786,8264,26056,6662,23790,4936,22650,2256,16980,433,5920,8,586,0,4,0,0
2020-01,4호선,0410,상계,77,4,12095,196,32348,6935,90212,9387,82199,19682,46601,17761,33323,15813,31149,16774,32729,20312,31863,22661,27421,24091,25790,27473,25810,33983,27456,41642,26968,62750,17240,63993,12523,39851,11573,35900,12370,34146,4490,26213,753,7978,9,888,0,3,0,0
2020-01,4호선,0411,노원,83,1,12249,599,24011,8236,54008,11369,59001,30570,35607,36667,29781,26847,29600,26586,32487,32345,33847,36101,33342,37898,34260,40626,37040,46829,39066,59084,40770,88839,30504,81439,31495,47285,29577,40626,30763,36084,16252,27678,3103,9414,21,410,0,0,0,0
2020-01,4호선,0412,창동,1279,55,16264,2338,34793,12524,94913,16460,84783,39628,56633,36783,45151,32860,43967,32035,48069,38889,47816,44024,44688,48041,46266,53588,49358,58485,50971,67111,53935,95026,30000,95912,23755,58057,22475,50912,19171,47096,9295,34137,1513,13075,8,102,0,0,0,0
2020-01,4호선,0413,쌍문,89,4,21203,1185,49154,9770,124983,13436,138003,28836,84970,24570,58943,21725,51542,23616,52125,28355,49059,32668,42282,35568,40682,43864,41863,52430,43818,67913,41967,101716,27942,109422,19768,66760,17175,58473,12608,58531,6397,38870,1017,13481,11,117,0,0,0,0
2020-01,4호선,0414,수유(강북구청),104,5,18744,3752,41219,11992,111160,20764,134529,55283,85250,41876,60263,33364,55980,35216,59967,39549,58855,46437,54650,50351,53858,58346,56254,69106,61025,83259,71312,125945,43538,125352,34151,77980,30745,69333,25225,65058,14990,44217,2728,11828,28,90,0,0,0,0
2020-01,4호선,0415,미아(서울사이버대학),35,5,9272,1651,19124,4926,48799,11184,58771,29815,36871,19411,26828,16676,25110,16927,27463,18414,27506,20920,24772,21708,23732,25444,24046,29592,27240,34495,29483,46559,18832,44782,13081,27104,12434,24997,7997,23226,3303,15643,609,4102,3,44,0,0,0,0
2020-01,4호선,0416,미아사거리,33,8,13514,2212,34069,7867,92891,14112,110239,32489,67039,35857,46887,30397,44159,32412,47617,37095,48450,39336,45242,44003,47488,51301,48683,58713,49460,71447,52055,105804,39187,97170,36836,56726,23845,50989,18948,48628,10443,29659,1617,7485,22,54,0,0,0,0
2020-01,4호선,0417,길음,14,0,8875,1766,26891,8003,80938,11615,92256,27086,50389,23400,35229,20080,31295,20998,33964,23921,33075,28857,30249,28406,30569,31676,33260,36019,36458,46042,35188,71244,23237,65767,16238,40082,12235,38279,10881,38517,4809,26464,763,6220,11,74,0,0,0,0
2020-01,4호선,0418,성신여대입구(돈암),51,6,5444,1625,16902,6002,47143,13906,60331,33779,39767,30523,30463,24170,30494,24442,34780,29488,36142,32948,35023,34289,37439,37003,40488,40600,47084,50873,50534,71274,34182,62303,30137,38390,32054,34078,29685,33233,14888,23311,2274,6355,32,47,0,0,0,0
2020-01,4호선,0419,한성대입구(삼선교),37,3,6771,1134,11997,6298,30629,12206,41314,25944,28661,24904,21560,17710,22060,17116,23996,19869,24950,20298,23426,20073,24547,22132,26300,24083,30642,29751,33237,38811,18446,34054,14371,21551,13483,19740,11012,20667,5399,13528,889,8684,7,867,0,39,0,0
2020-01,4호선,0420,혜화,13,0,3827,2210,7226,18668,17427,40339,22622,120533,25939,88656,32364,69699,39331,69077,43271,85346,49147,107874,58853,91741,78903,74525,97873,76087,118549,80503,136620,94550,84330,72312,80771,26249,102041,22214,105921,20895,39497,13970,5379,5065,32,137,0,0,0,0
2020-01,4호선,0421,동대문,380,3,7950,2547,3530,12171,5388,33133,7618,74922,11880,70648,17108,58927,24648,53206,32710,47371,39370,49334,50060,45796,59470,39642,67371,31625,88089,25586,82966,22000,41207,25598,28793,17457,25242,11811,23842,8547,11814,7257,1604,1985,4,21,0,1,0,0
2020-01,4호선,0422,동대문역사문화공원,299,6,9985,1625,5060,12413,7473,28053,10948,80233,13916,44905,16196,32610,19180,30117,23130,29750,26223,32455,32077,31104,40674,28239,46086,27062,62215,28381,94985,31889,56409,40309,43536,24429,41347,16946,36751,13663,21294,9526,3908,2893,27,48,2,2,0,0
2020-01,4호선,0423,충무로,79,9,3422,2702,4832,17925,9655,48222,15815,184545,19599,108304,21733,54654,26041,46862,30551,45384,37798,47771,43710,43002,50731,37077,58729,36176,88502,40549,155547,44764,82430,29866,56267,17328,54941,15719,43533,14612,22312,10947,4475,3627,13,141,0,0,0,0
2020-01,4호선,0424,명동,44,0,1252,1284,3325,16368,5630,43947,10919,121440,22014,92164,32023,63827,37079,71159,38843,74974,46261,80602,55780,74903,64866,75939,76535,75947,96835,76088,144235,72182,95153,53234,81957,35902,84004,26808,77508,17188,34421,9927,2326,3071,8,116,0,0,0,0
2020-01,4호선,0425,회현(남대문시장),41,0,2074,940,3645,20537,5741,55122,9570,160350,13492,102570,19719,73174,28889,77193,37491,63021,49067,57437,60762,54078,68473,46891,80466,36599,118305,28074,125798,23495,61000,14467,63534,8486,26869,9579,16065,7872,6056,5072,919,1529,5,111,0,2,0,0
2020-01,4호선,0426,서울역,275,5,5028,911,6520,15220,11764,38354,17443,100461,14533,54371,13933,30100,16403,31361,17368,34630,18320,35020,17252,34793,19887,39211,22644,42650,40407,47319,75904,47810,30547,38644,19470,26874,17224,23951,13588,21392,6244,12370,901,4448,35,522,0,5,0,0
2020-01,4호선,0427,숙대입구(갈월),20,1,3091,773,7263,6584,15834,17654,27111,56042,20034,31732,16937,18646,18010,18127,21421,18308,22611,20806,22343,19940,22717,20166,27504,21964,34071,26851,56182,37853,27604,27810,21283,16862,20668,16047,17467,15264,9829,10088,1442,2843,10,22,0,0,0,0
2020-01,4호선,0428,삼각지,4,1,565,591,1805,4690,4970,9388,8400,27442,5730,11549,4328,7731,4901,7709,5628,7995,7190,7662,7106,7068,7235,7318,8292,7927,12142,10052,25321,13567,10109,9551,7667,5670,7757,5042,5947,4708,3001,3473,376,1316,2,34,1,2,0,0
2020-01,4호선,0429,신용산,3,0,1254,1519,3913,13075,10178,31244,16038,102379,13414,59382,12137,27776,15151,22893,16686,21900,20479,24595,21164,23700,26779,23809,33568,24829,50961,26860,93950,33676,47191,23200,34470,13569,30389,10217,21445,8584,10269,4621,1381,1335,8,15,0,0,0,0
2020-01,4호선,0430,이촌(국립중앙박물관),59,27,1240,756,4435,6130,11895,12088,19136,26104,12971,22785,9652,20377,11344,15144,16404,16163,17909,21877,16530,17899,20302,16160,26337,15476,28500,16684,29201,22342,11706,16611,8252,10356,8294,9307,4813,9017,1941,5505,203,1830,1,15,0,0,0,0
2020-01,4호선,0431,동작(현충원),33,0,381,126,1270,1987,4560,2874,6399,6103,4772,4344,3334,3531,3879,3179,3990,3484,3994,4050,3932,4024,4334,4272,4669,4359,5720,4661,6528,6192,2832,4632,2149,4138,1787,2896,1251,2647,604,1821,143,780,1,99,0,0,0,0
2020-01,4호선,0432,총신대입구(이수),51,5,6148,1041,15427,10487,44415,15065,65155,44097,39987,36986,29934,27839,31504,27201,33203,31798,34699,35494,34359,36611,35139,40506,36304,47882,39483,55863,48136,84490,29710,62317,27345,33878,25984,30419,21839,27455,12224,16887,1893,4914,11,243,0,1,0,0
2020-01,4호선,0433,사당,106,1,9795,958,23552,16653,68806,22667,91027,35828,65540,29071,45703,24783,39939,30762,42223,32728,43846,30431,42436,30278,39450,35170,39700,45982,47878,61943,54327,97383,38479,73946,33571,39485,37180,35542,36061,34085,19695,22950,2678,8005,8,915,0,5,0,0
2020-01,4호선,0434,남태령,63,0,426,135,961,901,2592,3344,4297,5484,3083,1995,2316,1387,2252,1095,2181,1458,2264,1460,2137,1545,2238,1513,2569,1537,3701,1711,3991,2018,1612,2150,989,1298,722,1308,379,1017,166,623,25,265,0,5,0,0,0,0
2020-01,경부선,1001,서울역,2,3,51,311,80,2071,8314,2730,19025,3402,12333,2750,13069,2219,17430,1991,14770,2305,12420,2094,6725,2266,17944,2644,14166,3309,15712,4305,14205,6172,15766,4183,12788,2283,10838,1794,10470,1480,5972,388,1115,36,7,1,0,0,0,0
2020-01,경부선,1002,남영,66,1,2691,1263,4315,6585,11406,17466,18084,53716,11286,32552,10356,13917,11135,11586,13323,11817,13762,13595,13546,11956,15158,12950,18422,14186,24232,16295,49141,23337,20137,17010,14630,11363,13871,10579,11808,9708,6043,6237,100,740,0,0,0,0,0,0
2020-01,경부선,1003,용산,206,8,4350,5337,5584,36586,21543,73529,31947,155536,39032,106448,36659,83275,50330,75790,51975,74645,64405,79177,62360,75961,93041,79209,97440,78271,123463,75335,161926,90126,104644,59728,102513,41838,93534,30073,62188,19634,26219,7153,1664,2415,2,2,0,0,0,0
2020-01,경부선,1004,노량진,290,5,4279,1682,6578,7562,16835,17149,26993,26382,15506,15384,12859,10895,13633,12044,16468,14619,20049,16694,18066,14410,17042,15386,19910,18710,22775,22887,28457,38754,17620,26242,17285,15836,21163,14076,28013,13050,9626,7910,231,1428,0,0,0,0,0,0
2020-01,경부선,1005,대방,361,7,5352,2413,10095,10700,28821,34666,40837,52830,23886,28330,18505,15015,17663,13757,20136,14966,22534,16974,20480,15768,21197,16606,22692,21112,33085,24929,48464,39795,20227,29252,15375,20233,15081,20018,13085,17633,3595,10778,104,1994,0,1,0,0,0,0
2020-01,경부선,1006,영등포,3570,36,16894,6936,16634,24281,39150,58189,59541,134050,42673,101268,41702,81806,48435,91722,59598,99905,66443,113580,77771,102565,95031,99574,115860,103269,134411,107101,183190,141162,115767,98413,117683,49370,100513,38562,84037,32361,38726,18012,1069,4321,0,24,0,0,0,0
2020-01,경부선,1007,신도림,308,1,1937,556,2999,1845,9258,6155,12285,15370,6486,6464,4434,4717,4366,4325,4921,4807,5317,5534,5065,5066,5122,5664,6203,6648,8548,8242,13844,13249,6137,9067,4969,5108,4643,4710,3358,4172,1504,2812,46,1184,2,3,0,0,0,0
2020-01,경부선,1032,신길,414,10,9660,1448,10350,4940,23051,13718,33185,29601,19713,10233,13252,7181,12045,7179,13770,7942,13214,8906,11309,8903,11932,10453,13306,12345,18222,16331,31909,23172,12300,17823,8371,12338,8743,13791,5805,12148,2432,7981,176,1969,0,13,0,2,0,0
2020-01,경부선,1701,구로,8824,37,21120,4173,19197,11301,37234,29230,39548,79019,27133,40675,23881,26358,23808,24315,25227,22890,26410,25051,26104,24086,27762,25106,30325,29689,47288,37709,69614,44394,30657,34858,21056,23017,18870,24210,14495,21586,6471,15791,141,12048,0,204,0,0,0,0
2020-01,경부선,1702,가산디지털단지,993,8,7830,2272,7202,11040,13866,48415,14448,159759,11679,79059,10775,22753,11721,18750,13594,19129,15970,19906,16577,19301,19404,19326,24346,19579,56089,24420,118996,28693,52398,23047,30240,14128,25126,13086,16642,10433,7749,7760,209,797,0,8,0,0,0,0
2020-01,경부선,1703,금천구청,364,7,9163,1497,18089,5813,44802,13599,43746,30159,25241,12383,19185,9688,18241,10944,18694,12335,18376,14923,16551,15439,16107,17781,16629,21165,18631,26884,28090,39916,13304,36663,9175,21262,7786,17873,5670,17019,2172,12207,72,777,0,8,0,0,0,0
2020-01,경부선,1704,석수,227,1,7266,2149,16427,5786,40131,11186,41629,17349,22915,11564,15601,9535,15485,8551,15455,8131,14628,9431,14051,10265,14594,11411,15783,15433,19396,20048,22102,33569,11723,29312,8208,18851,6579,17783,4839,16450,1980,11106,29,617,0,3,0,0,0,0
2020-01,경부선,1705,관악,153,1,6633,1483,12231,4053,32854,5293,31807,10576,16355,11037,12007,10829,10823,8710,13798,8677,13141,7675,11964,8802,10674,9268,12408,12999,13312,15614,11994,25808,7636,23341,5170,14478,5150,12922,3025,12060,1341,9325,21,498,0,9,0,0,0,0
2020-01,경부선,1706,안양,243,4,13672,3357,29739,11252,81455,14857,74744,28356,40312,29122,32315,25304,31808,31841,35670,36940,35909,36372,35321,40193,38205,37697,42027,49449,45450,55207,41723,90011,29279,79598,26644,43547,29537,39021,26152,32017,12797,23000,94,2583,0,0,0,0,0,0
2020-01,경부선,1707,명학,101,6,5644,2060,9468,8571,25671,18367,22780,54344,12404,13834,9707,8213,10032,7387,10828,8145,10677,8139,10088,8161,10527,7173,13608,10539,23138,12305,37592,19572,12858,17337,11255,10351,8432,9142,4742,10281,2191,6713,47,730,0,0,0,0,0,0
2020-01,경부선,1708,금정,216,4,20924,6224,32143,22327,80815,38215,82938,86212,50134,30379,37814,21717,35599,24915,36591,25161,36198,28548,32123,30080,32215,35026,39000,44062,56301,55946,76131,87560,36355,75377,27788,48860,25231,45828,19781,41993,9718,30047,1082,11013,5,843,0,0,0,0
2020-01,경부선,1709,군포,55,1,4934,2136,8043,6275,16830,23752,16587,47653,10575,8076,8796,6001,8519,5310,8853,5791,8284,6178,7550,6526,8099,7263,9755,9058,20209,11220,33937,14423,12828,12552,9689,8269,7274,7099,4499,6679,1677,4236,61,796,0,0,0,0,0,0
2020-01,경부선,1710,의왕,29,2,5978,2010,11720,7318,27786,23799,28290,27004,14987,9298,11792,7310,11781,7196,12363,7484,11923,8902,11001,9334,11331,10758,14518,13103,24962,16149,24525,25822,12054,23447,8741,14637,7133,13687,4789,12815,1978,7618,145,2568,0,0,0,0,0,0
2020-01,경부선,1711,성균관대,69,2,7905,1619,24188,5427,62515,8789,53068,18252,26207,15077,21088,11945,20323,13257,20812,13868,19672,17330,18479,17799,19074,19224,21943,25135,24140,33042,25986,54022,15417,52447,12205,33532,11476,27735,10382,26888,4676,17411,318,4787,0,0,0,0,0,0
2020-01,경부선,1712,화서,307,1,6908,1505,17962,4988,36250,4604,28857,9680,14387,6819,12111,5852,11430,6335,10788,6729,10594,8010,9667,9096,9359,10021,10838,12238,12030,17349,11020,27980,6783,27538,4900,16926,4435,13462,3732,13719,1250,8430,81,2631,0,0,0,0,0,0
2020-01,경부선,1713,수원,1871,49,20539,5305,34313,27988,70403,54207,69764,72185,50900,67043,50564,60807,55099,70000,57594,84075,62133,87635,65896,85124,76393,86259,93420,91507,102204,106020,110005,131346,91092,112220,90921,65569,69352,51143,65249,43425,26786,27896,901,9775,4,27,0,0,0,0
2020-01,경부선,1714,독산,505,2,6439,2241,15295,11551,39263,33638,38501,93579,22239,44744,18071,17622,18622,13935,20126,14139,20237,14818,18416,16410,19873,17249,23928,19941,44841,24856,72906,38693,32922,35129,18186,21456,14128,19806,9334,18218,3458,13264,75,671,1,2,0,0,0,0
2020-01,경부선,1715,세류,351,4,3077,674,6988,2480,14691,4386,9907,5040,6061,3503,6457,3870,5694,3168,5214,3863,5043,4178,4644,4510,4934,5216,5530,5589,7650,8236,7242,10423,4365,10779,3566,7933,2873,6022,2003,5352,618,3538,21,1174,0,3,0,0,0,0
2020-01,경부선,1716,병점,2360,19,7049,3481,22483,11093,46318,18660,35942,24365,26520,15998,23479,12070,24529,12707,24315,16387,23683,17038,22381,19211,23945,22334,26450,27195,32803,30454,36261,45203,19643,44800,13847,33682,11713,29134,9076,25550,2472,17542,53,9876,0,60,0,0,0,0
2020-01,경부선,1717,세마,151,0,1607,498,5052,1277,8150,3682,7155,5656,6413,1980,4723,1816,4726,2241,4567,2016,4617,2530,4246,2905,3995,3656,4632,4629,5876,5426,5701,7602,3016,7283,2082,5155,1673,4843,1114,4584,433,2477,45,234,0,0,0,0,0,0
2020-01,경부선,1718,오산대,73,1,2023,569,4048,1709,9281,3769,6834,4717,5323,2641,4816,2385,4618,2589,4678,2545,4351,3234,4329,3599,4379,3781,5006,4770,6181,6497,6985,8219,3559,7064,2745,5090,2556,4081,1731,3937,799,2260,58,202,0,0,0,0,0,0
2020-01,경부선,1719,오산,169,0,6034,1743,12291,6774,20324,20319,18584,20030,17415,11383,18059,11523,17880,12038,18716,13026,18206,13484,17127,15786,17780,15988,19558,21399,24757,25239,28354,26423,15591,28727,12853,19408,9504,15997,6592,13148,2402,7636,160,773,0,2,0,0,0,0
2020-01,경부선,1720,진위,6,0,737,214,1248,2004,2660,5988,2476,6555,1805,1278,2124,1017,1871,972,2084,890,1775,1445,2038,1229,2236,1382,2352,2024,5114,2431,8599,2211,2785,1996,1873,1662,1107,1438,611,1527,172,857,13,97,0,0,0,0,0,0
2020-01,경부선,1721,송탄,46,4,5205,726,7263,3302,9044,4793,10202,7048,8192,3515,8603,4136,8658,4207,8243,4707,8438,6355,7064,6288,7936,7075,8132,9623,8611,10976,10543,11217,5790,11118,4164,9592,3691,8512,2260,8242,846,5745,55,994,0,6,0,0,0,0
2020-01,경부선,1722,서정리,25,1,2966,6409,7301,5918,9072,7818,10976,9751,8976,4670,9601,5360,9267,6121,9936,6493,9341,7723,8490,7705,9350,9020,10001,10223,15357,13129,15092,15109,9142,12988,6208,10938,4617,9442,2782,7470,901,5533,26,1042,0,2,0,0,0,0
2020-01,경부선,1723,지제,5,1,831,2304,2498,4582,5110,6979,4584,5675,3354,2634,3035,2048,2991,2249,3912,2275,3319,3200,3318,1751,4796,3890,5559,3601,9089,3269,7891,6024,5343,4606,2668,3327,3646,3495,2528,2687,648,2176,11,67,0,1,0,0,0,0
2020-01,경부선,1724,평택,60,1,6647,2707,13187,7687,23041,13683,22425,20039,22390,18310,23379,17659,21104,21261,22987,19938,23532,26718,23757,21422,24880,27306,27867,26516,30401,31930,30760,37556,23152,28489,20922,22831,15294,18037,11869,14942,5673,10260,76,415,0,76,0,0,0,0
2020-01,경부선,1725,성환,20,0,1608,700,2995,2409,5328,7488,6731,8484,6548,3821,6531,4377,6239,4908,6376,5392,7311,5241,6580,5427,5779,5997,7572,6024,10475,8261,9841,8412,4578,6637,3789,6342,2637,4964,1399,4122,709,3723,20,444,0,15,0,0,0,0
2020-01,경부선,1726,직산,31,0,652,180,1088,746,1721,2110,1401,2834,1422,1130,1451,891,1330,930,1419,1099,1571,1076,1338,898,1533,1348,1495,1248,2095,1991,2945,1870,1125,1348,767,1470,929,1187,386,710,175,765,8,223,0,2,0,0,0,0
2020-01,경부선,1727,두정,1068,4,3979,616,7343,2649,11181,5874,9777,7750,7714,8406,8239,6608,7732,7915,7440,8182,7496,7882,7756,7824,8410,7489,10063,9699,11585,9716,13665,15099,7990,11838,5628,10782,4649,8859,3821,7079,2038,5379,36,1904,0,15,0,0,0,0
2020-01,경부선,1728,천안,2123,4,2465,500,4602,2581,8551,5059,8941,7359,11260,10624,11672,11618,12558,13151,11837,13657,12984,14823,14594,14058,15507,13291,15589,16518,14308,14398,12898,15397,9791,12303,7684,8807,6092,6483,4253,5807,1884,3361,64,2198,0,50,0,0,0,0
2020-01,경부선,1729,당정,7,0,3345,987,9514,2883,25053,8124,21483,16588,11797,6640,9434,5545,9198,5003,9863,5659,9307,6317,8213,6682,9114,7697,9271,9350,11785,11678,16211,18478,7221,19313,5415,11640,4265,11226,3478,11793,1464,7446,68,1936,0,0,0,0,0,0
2020-01,경부선,1749,서동탄,0,0,1396,2,4292,552,9978,1336,5288,2190,2791,924,2797,1106,2754,1300,2468,1353,2463,1723,2218,1870,2221,2281,2508,2983,2531,3263,2822,4565,1535,6059,922,2547,814,3145,494,1931,24,1922,3,1495,0,0,0,0,0,0
2020-01,경부선,1750,광명,0,0,20,2088,2288,2386,13755,3436,5619,4140,5627,2938,4159,2304,5020,1902,6192,3089,4090,3272,3457,3299,4655,5039,8066,5104,7524,4867,7745,8537,7606,7970,3085,4382,4709,3104,2175,4027,722,468,1,0,0,0,0,0,0,0
2020-01,경인선,1801,개봉,881,6,16584,5012,34375,12072,88878,14984,87401,24960,54234,19950,40577,18623,36619,20814,38502,26110,37482,26080,32614,30357,31907,35677,33127,43187,34975,60882,35765,89436,21471,78153,16966,46627,15006,47097,10809,40920,5317,25226,291,3705,0,21,0,0,0,0
2020-01,경인선,1802,오류동,371,4,11213,1845,16572,5532,50241,6543,49050,11838,28392,11927,22175,13153,19938,9956,23271,13829,20784,16647,17576,16042,19237,19685,19781,20484,19486,27303,18583,41645,10838,41364,8541,23265,6904,25576,5846,20994,2659,14115,161,2673,1,34,0,0,0,0
2020-01,경인선,1803,역곡,565,27,23907,3385,42897,11450,124517,12877,122877,27567,66097,24775,47327,21897,43134,23866,45101,31091,43108,33297,36966,36873,35567,40589,38019,52634,40722,69572,39722,111512,25861,106701,21541,63235,18370,58511,16314,53422,8207,37325,625,6290,4,58,0,0,0,0
2020-01,경인선,1804,부천,2006,22,31616,4384,42772,14496,110272,20760,111662,44964,66822,45129,54013,41981,53766,47820,58454,56109,59701,65484,58169,63067,60725,66673,65791,74355,69642,96719,72671,133679,52524,126942,42608,72173,43543,62532,38956,52825,21381,38294,2030,8467,2,95,0,0,0,0
2020-01,경인선,1805,송내,1352,12,15100,7428,37392,16292,118634,29010,96701,79816,52615,44834,41180,26915,40400,26053,44566,28247,41331,31042,36993,31614,38332,37234,41911,44378,50340,60328,82458,95485,38311,95209,27782,57450,24255,50117,20757,45895,10033,32530,1766,5811,4,28,0,0,0,0
2020-01,경인선,1806,부평,6414,57,23944,5113,37912,11674,89783,19244,83770,35364,49486,44000,45342,39634,47621,48043,53039,60596,54049,72735,54913,71895,59636,75405,67545,83165,73607,96134,70654,145592,55523,128279,52033,73170,55244,59577,52060,47886,31457,34106,5356,10883,14,61,0,0,0,0
2020-01,경인선,1807,백운,89,2,7197,1563,14019,3379,29458,5189,26967,10929,17615,8869,15467,7171,14766,8238,14162,9242,13323,10476,12818,10817,11404,12019,11366,14800,11630,18742,12399,25658,6506,24904,5034,15828,5514,15041,3670,13212,2186,9864,278,2824,1,10,0,0,0,0
2020-01,경인선,1808,동암,433,6,17970,4699,29535,10112,57159,14100,55361,18388,35318,16576,28521,16843,28122,17974,28806,20411,28970,21519,25652,23046,24283,28058,25985,29529,28634,43301,28174,58678,18406,54019,14147,36705,13410,34125,10459,28599,5286,22757,509,5906,2,47,0,0,0,0
2020-01,경인선,1809,주안,811,16,13636,3437,25487,9705,66822,18374,58108,30627,36459,25357,30482,19633,32701,20502,38094,25761,35920,24562,32682,26262,34165,28826,37903,32275,42497,44036,45092,60136,28492,66159,24150,39868,21853,33919,19400,32182,10452,23935,1352,7377,3,32,0,0,0,0
