사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-01,7호선,2736,고속터미널,546867,422141,78993,69138
2020-01,7호선,2737,내방,327126,338575,66021,64640
2020-01,7호선,2738,이수,408212,403879,78542,74815
2020-01,7호선,2739,남성,261340,238963,69990,69242
2020-01,7호선,2740,숭실대입구(살피재),311844,308161,59216,61211
2020-01,7호선,2741,상도,263546,251379,56811,53579
2020-01,7호선,2742,장승배기,235175,225896,73358,73676
2020-01,7호선,2743,신대방삼거리,390201,367687,92372,93723
2020-01,7호선,2744,보라매,222468,223515,49244,49025
2020-01,7호선,2745,신풍,264330,249713,65569,66057
2020-01,7호선,2746,대림(구로구청),265621,268054,35605,34443
2020-01,7호선,2747,남구로,403060,427654,58651,58934
2020-01,7호선,2748,가산디지털단지,1084436,1080089,73153,69045
2020-01,7호선,2749,철산,570447,588350,98177,98074
2020-01,7호선,2750,광명사거리,583893,566845,151431,154454
2020-01,7호선,2751,천왕,236542,210810,50121,49699
2020-01,7호선,2752,온수(성공회대입구),247081,234700,37675,36796
2020-01,7호선,2753,까치울,183504,172707,24096,24221
2020-01,7호선,2754,부천종합운동장,116021,95670,16516,16060
2020-01,7호선,2755,춘의,229441,222650,30262,29179
2020-01,7호선,2756,신중동,368532,367435,54921,53184
2020-01,7호선,2757,부천시청,315757,315815,51640,50029
2020-01,7호선,2758,상동,361631,372461,50233,50069
2020-01,7호선,2759,삼산체육관,122672,109813,25695,24580
2020-01,7호선,2760,굴포천,231356,243386,35288,36326
2020-01,7호선,2761,부평구청,309655,248756,30964,28410
2020-01,8호선,2811,암사,446138,385823,98581,97405
2020-01,8호선,2812,천호(풍납토성),431831,511674,87000,82563
2020-01,8호선,2813,강동구청,244678,251225,64880,66088
2020-01,8호선,2814,몽촌토성(평화의문),129772,139362,31166,30164
2020-01,8호선,2815,잠실(송파구청),410007,477204,72625,69638
2020-01,8호선,2816,석촌,182395,216366,51413,54554
2020-01,8호선,2817,송파,216568,206418,57878,56143
2020-01,8호선,2818,가락시장,176733,207825,63638,65870
2020-01,8호선,2819,문정,492853,511277,55097,54775
2020-01,8호선,2820,장지,459258,436540,73210,69454
2020-01,8호선,2821,복정,260325,216228,45044,40931
2020-01,8호선,2822,산성,126030,120093,31791,33963
2020-01,8호선,2823,남한산성입구(성남법원.검찰청),313290,276493,75103,72696
2020-01,8호선,2824,단대오거리,238883,226645,67641,64517
2020-01,8호선,2825,신흥,100291,109645,45261,47096
2020-01,8호선,2826,수진,120438,108955,51012,50469
2020-01,8호선,2827,모란,90338,71576,54490,39294
2020-01,9호선,4101,개화,64100,44540,12226,9706
2020-01,9호선,4102,김포공항,254587,348158,20702,23474
2020-01,9호선,4103,공항시장,62411,69660,22732,24949
2020-01,9호선,4104,신방화,157476,152859,42223,42257
2020-01,9호선,4105,마곡나루,265222,266235,22245,21813
2020-01,9호선,4106,양천향교,209377,214661,40380,40379
2020-01,9호선,4107,가양,474134,459955,122666,119194
2020-01,9호선,4108,증미,155868,157809,42549,43462
2020-01,9호선,4109,등촌,222601,223158,77910,78684
2020-01,9호선,4110,염창,426975,408275,66334,65246
2020-01,9호선,4111,신목동,93191,82986,17972,17179
2020-01,9호선,4112,선유도,175932,168570,24306,23887
2020-01,9호선,4113,당산,471653,463677,65156,59992
2020-01,9호선,4114,국회의사당,390579,391552,50129,43725
2020-01,9호선,4115,여의도,589544,566774,42504,39385
2020-01,9호선,4116,샛강,124862,132941,26870,26628
2020-01,9호선,4117,노량진,777594,804022,98897,100014
2020-01,9호선,4118,노들,102557,86445,30918,28487
2020-01,9호선,4119,흑석(중앙대입구),200120,210074,54915,56116
2020-01,9호선,4120,동작(현충원),45457,35753,14438,12743
2020-01,9호선,4121,구반포,64929,68817,22789,23213
2020-01,9호선,4122,신반포,65873,65625,20458,20589
2020-01,9호선,4123,고속터미널,386394,558680,53528,62649
2020-01,9호선,4124,사평,75540,73181,16398,16612
2020-01,9호선,4125,신논현,957013,976720,57215,54748
2020-01,공항철도 1호선,4201,서울역,387304,329025,34075,30731
2020-01,공항철도 1호선,4202,공덕,66280,88953,7069,8352
2020-01,공항철도 1호선,4203,홍대입구,352333,348652,16893,16021
2020-01,공항철도 1호선,4204,디지털미디어시티,340483,305763,23070,21457
2020-01,공항철도 1호선,4206,마곡나루,174101,157284,8559,8385
2020-01,공항철도 1호선,4207,김포공항,317364,179608,20925,13527
2020-01,공항철도 1호선,4208,계양,257652,235528,25459,23993
2020-01,공항철도 1호선,4209,검암,212871,203816,17570,17228
2020-01,공항철도 1호선,4210,청라국제도시,180786,168206,10811,10582
2020-01,공항철도 1호선,4211,운서,199691,211861,22901,22574
2020-01,공항철도 1호선,4212,공항화물청사,62251,69769,8024,7666
2020-01,공항철도 1호선,4213,인천공항1터미널,456138,454726,30543,28743
2020-01,공항철도 1호선,4215,인천공항2터미널,159550,136738,14511,12786
2020-01,공항철도 1호선,4217,영종,69710,71717,16117,16685
2020-01,9호선2~3단계,4126,언주,242772,241782,24844,24710
2020-01,9호선2~3단계,4127,선정릉,220930,239511,24359,24996
2020-01,9호선2~3단계,4128,삼성중앙,152349,157562,22387,22380
2020-01,9호선2~3단계,4129,봉은사,473503,476929,48403,45885
2020-01,9호선2~3단계,4130,종합운동장,117829,107877,17152,15506
2020-01,9호선2~3단계,4131,삼전,144443,141975,32071,31322
2020-01,9호선2~3단계,4132,석촌고분,122089,120441,32062,32038
2020-01,9호선2~3단계,4133,석촌,182141,152869,29647,25190
2020-01,9호선2~3단계,4134,송파나루,98588,105463,23917,24523
2020-01,9호선2~3단계,4135,한성백제,55347,49707,12386,11483
2020-01,9호선2~3단계,4136,올림픽공원(한국체대),155407,152973,16955,16964
2020-01,9호선2~3단계,4137,둔촌오륜,20022,19388,5577,5585
2020-01,9호선2~3단계,4138,중앙보훈병원,188221,165204,66549,66996
2020-01,우이신설선,4701,북한산우이,46677,39796,33899,34243
2020-01,우이신설선,4702,솔밭공원,42556,38852,27099,27786
2020-01,우이신설선,4703,4.19민주묘지,48479,45553,30790,28591
2020-01,우이신설선,4704,가오리,73032,68015,44403,45861
2020-01,우이신설선,4705,화계,56261,49618,40820,41717
2020-01,우이신설선,4706,삼양,31860,33081,26306,28911
2020-01,우이신설선,4707,삼양사거리,36339,37015,34788,35563
2020-01,우이신설선,4708,솔샘,126066,111801,35499,36296
2020-01,우이신설선,4709,북한산보국문,129018,115878,40938,41215
2020-01,우이신설선,4710,정릉,82409,73275,44699,42207
2020-01,우이신설선,4711,성신여대입구(돈암),70682,85598,31125,29572
2020-01,우이신설선,4712,보문,29432,29458,15323,15791
2020-01,우이신설선,4713,신설동,34577,36774,23139,21369
